budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,Component1,Component2,Component3,Component4,Component5,cluster,Segment
0.0,Path� Pictures International,UK,Roger Michell,Drama,358262.0,Enduring Love,R,2004-11-26,100,6.4,Rhys Ifans,9152,Ian McEwan,2004,-0.8721969034848346,0.06683965033668324,0,first
25000000.0,Lions Gate Films,Canada,Nick Hamm,Drama,14379751.0,Godsend,PG-13,2004-04-30,102,4.8,Robert De Niro,23154,Mark Bomback,2004,-0.22430286470166041,-0.24030437209621913,0,first
0.0,Fox Searchlight Pictures,Germany,Pieter Jan Brugge,Drama,5763875.0,The Clearing,R,2004-07-16,95,5.9,Robert Redford,12195,Pieter Jan Brugge,2004,-0.8065133402722101,0.1325232135493078,0,first
0.0,New Line Cinema,USA,Robert Harmon,Action,367027.0,Highwaymen,R,2004-02-19,80,5.7,Jim Caviezel,7657,Craig Mitchell,2004,-0.8720904000352612,0.0669461537862566,0,first
0.0,Alliance Atlantis Communications,Canada,Michael McGowan,Comedy,795126.0,Saint Ralph,PG-13,2007-05-25,98,7.6,Adam Butcher,5291,Michael McGowan,2004,-0.8668885722818201,0.0721479815396976,0,first
0.0,WT2 Productions,UK,Damien O'Donnell,Comedy,21864.0,Rory O'Shea Was Here,R,2004-10-15,104,7.9,James McAvoy,12466,Jeffrey Caine,2004,-0.8762844730717807,0.06275208074973714,0,first
18000000.0,Metro-Goldwyn-Mayer (MGM),USA,Kevin Rodney Sullivan,Comedy,65111277.0,Barbershop 2: Back in Business,PG-13,2004-02-06,106,5.7,Ice Cube,11281,Mark Brown,2004,0.2584302004669491,0.5098393502128918,3,fourth
18000000.0,Serendipity Point Films,Canada,Istv�n Szab�,Comedy,7739049.0,"Julia, una mujer seductora",R,2005-02-18,104,7.0,Annette Bening,11052,W. Somerset Maugham,2004,-0.4386993137041733,-0.18729016395823064,0,first
0.0,Mij Film Co.,Iran,Bahman Ghobadi,Drama,256822.0,Turtles Can Fly,PG-13,2005-02-23,98,8.1,Soran Ebrahim,14720,Bahman Ghobadi,2004,-0.8734295001676324,0.06560705365388546,0,first
3000000.0,Front Street Pictures,USA,John Curran,Drama,2037545.0,We Don't Live Here Anymore,R,2004-09-03,101,6.3,Mark Ruffalo,8531,Andre Dubus,2004,-0.794489664613933,0.02994232186165565,0,first
0.0,Beyond Films,UK,Mike Barker,Drama,223144.0,A Good Woman,PG,2005-05-13,93,6.5,Helen Hunt,10196,Oscar Wilde,2004,-0.8738387212942418,0.06519783252727604,0,first
0.0,Jet Tone Films,USA,Michelangelo Antonioni,Drama,188248.0,Eros,R,2004-12-03,104,6.0,Li Gong,5387,Kar-Wai Wong,2004,-0.8742627423297595,0.06477381149175836,0,first
1000000.0,Kim Ki-Duk Film,South Korea,Ki-duk Kim,Crime,238507.0,3-Iron,R,2006-04-07,88,8.1,Seung-yeon Lee,41640,Ki-duk Kim,2004,-0.8545512843715979,0.04628374700127697,0,first
30000000.0,Touchstone Pictures,USA,Charles Stone III,Comedy,21800302.0,Mr 3000,PG-13,2004-09-17,104,5.5,Bernie Mac,12740,Eric Champnella,2004,-0.03863199876999904,-0.24564111840777306,3,fourth
0.0,La Parti Productions,Belgium,Fabrice du Welz,Horror,2623.0,Calvaire,NOT RATED,2005-03-09,88,6.2,Laurent Lucas,10084,Romain Protat,2004,-0.8765182703191555,0.06251828350236224,0,first
0.0,Lions Gate Films,UK,Richard Eyre,Drama,776691.0,Stage Beauty,R,2004-10-29,106,7.2,Billy Crudup,9141,Jeffrey Hatcher,2004,-0.8671125758292116,0.07192397799230628,0,first
0.0,Extra Large Pictures,USA,Todd Solondz,Comedy,553368.0,Palindromes,NOT RATED,2005-01-21,100,6.8,Jennifer Jason Leigh,11133,Todd Solondz,2004,-0.8698261719352097,0.06921038188630813,0,first
12000000.0,Lucky 7 Productions LLC,UK,Mick Davis,Biography,195378.0,Modigliani,R,2004-09-29,128,7.4,Andy Garcia,9098,Mick Davis,2004,-0.6449669710611231,-0.16434868662332208,0,first
45000000.0,DreamWorks,USA,Mike Mitchell,Comedy,11663156.0,Surviving Christmas,PG-13,2004-10-22,91,5.3,Ben Affleck,18771,Deborah Kaplan,2004,0.12470303421788283,-0.6553289221495371,3,fourth
20000000.0,Universal Pictures,USA,Michael Lembeck,Comedy,8054280.0,Connie and Carla,PG-13,2004-04-16,108,6.3,Nia Vardalos,7171,Nia Vardalos,2004,-0.39666742172758246,-0.22166131687892585,0,first
0.0,Bandai Visual Company,Japan,Katsuhiro �tomo,Animation,410388.0,Steamboy,PG-13,2005-03-18,126,6.9,Anna Paquin,14575,Sadayuki Murai,2004,-0.8715635208479308,0.06747303297358705,0,first
6500000.0,Hart-Sharp Entertainment,USA,Michael Mayer,Drama,1029872.0,A Home at the End of the World,R,2004-10-14,97,6.8,Colin Farrell,12420,Michael Cunningham,2004,-0.7398812274299993,-0.04915456952466149,0,first
20000000.0,4 Kids Entertainment,Japan,Hatsuki Tsuji,Animation,19762690.0,Yu-Gi-Oh!: The Movie,PG,2004-08-13,100,4.6,Dan Green,6776,Masahiro Hikokubo,2004,-0.25439861921539286,-0.07939251436673624,0,first
40000000.0,Rent Productions LLC,USA,Chris Columbus,Drama,29077547.0,Rent,PG-13,2005-11-23,135,7.0,Taye Diggs,43683,Stephen Chbosky,2005,0.24080136314698236,-0.3482229809772222,3,fourth
150000000.0,Warner Bros.,USA,Tim Burton,Adventure,206459076.0,Charlie and the Chocolate Factory,PG,2005-07-15,115,6.7,Johnny Depp,350762,Roald Dahl,2005,4.497246732631111,-0.29394508084382986,4,
150000000.0,Warner Bros.,UK,Mike Newell,Adventure,290013036.0,Harry Potter and the Goblet of Fire,PG-13,2005-11-18,157,7.7,Daniel Radcliffe,429209,Steve Kloves,2005,5.512510276899836,0.7213184634248955,2,third
150000000.0,Warner Bros.,USA,Christopher Nolan,Action,206852432.0,Batman Begins,PG-13,2005-06-15,152,8.3,Christian Bale,1075968,Bob Kane,2005,4.502026398450893,-0.2891654150240486,4,
40000000.0,Universal Pictures,USA,Joss Whedon,Action,25514517.0,Serenity,PG-13,2005-09-30,119,7.9,Nathan Fillion,255155,Joss Whedon,2005,0.19750701221333672,-0.3915173319108679,3,fourth
54000000.0,Warner Bros.,USA,James McTeigue,Action,70511035.0,V for Vendetta,R,2006-03-17,132,8.2,Hugo Weaving,867117,Lilly Wachowski,2005,1.0116700236938536,-0.11217563471135344,3,fourth
40000000.0,Dimension Films,USA,Frank Miller,Crime,74103820.0,Sin City,R,2005-04-01,124,8.0,Mickey Rourke,690034,Frank Miller,2005,0.7879152702698908,0.1988909261456863,3,fourth
28000000.0,Focus Features,France,Joe Wright,Drama,38405088.0,Pride & Prejudice,PG,2005-11-23,129,7.8,Keira Knightley,209548,Jane Austen,2005,0.12493110952038818,-0.005674965220099656,3,fourth
50000000.0,Touchstone Pictures,UK,Garth Jennings,Adventure,51085416.0,The Hitchhiker's Guide to the Galaxy,PG,2005-04-29,109,6.8,Martin Freeman,165212,Douglas Adams,2005,0.6992264273307378,-0.2718131412798973,3,fourth
14000000.0,Focus Features,USA,Ang Lee,Drama,83043761.0,Brokeback Mountain,R,2006-01-13,134,7.7,Jake Gyllenhaal,276758,Annie Proulx,2005,0.39992463479604795,0.804139874336563,3,fourth
40000000.0,New Line Cinema,USA,David Dobkin,Comedy,209218368.0,Wedding Crashers,R,2005-07-15,119,7.0,Owen Wilson,295346,Steve Faber,2005,2.429691134450916,1.8406667903267115,1,second
180000000.0,Walt Disney Pictures,USA,Andrew Adamson,Adventure,291709845.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,2005-12-09,143,6.9,Tilda Swinton,310549,Ann Peacock,2005,6.106151027122596,0.1689135401883636,2,third
82000000.0,Paramount Pictures,USA,Peter Segal,Comedy,158119460.0,The Longest Yard,PG-13,2005-05-27,113,6.4,Adam Sandler,139788,Albert S. Ruddy,2005,2.6110206561938956,0.4175323692266824,1,second
