budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Component1,Component2,Component3,Component4,Component5,cluster,Segment
0.0,Lorimar Productions,USA,Nick Castle,Drama,7177431.0,The Boy Who Could Fly,PG,1986-09-26,114,6.5,Lucy Deakins,4623,Nick Castle,1986,-0.6528685556108648,0.7100853631396833,0.32712416800599015,0.05916180709728221,0.22621939015785453,1,second
6000000.0,HBO Films,USA,Robert Harmon,Thriller,5844868.0,The Hitcher,R,1986-02-21,97,7.3,Rutger Hauer,36191,Eric Red,1986,-0.5497198174844924,0.736403527974549,-0.7891369829589404,-0.45746595861279366,-0.06777927726776492,1,second
10000000.0,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651.0,The Money Pit,PG,1986-03-26,91,6.3,Tom Hanks,41278,David Giler,1986,-0.5943120104690324,-0.34253915499997145,-0.6502039356248404,-0.09579902876540479,0.2445429447702937,1,second
3000000.0,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057.0,Jason Lives: Friday the 13th Part VI,R,1986-08-01,86,5.9,Thom Mathews,28310,Tom McLoughlin,1986,-1.1148557137904578,-0.5745926947911308,-0.6608706737823711,0.0897166666476142,0.10961666626995535,3,fourth
25000000.0,The Saul Zaentz Company,USA,Peter Weir,Adventure,14302779.0,The Mosquito Coast,PG,1986-11-26,117,6.6,Harrison Ford,23076,Paul Theroux,1986,-0.09976315780620709,0.5457170774283248,0.5213554305786537,-0.22041930050785463,-0.056328446871683,1,second
0.0,Universal Pictures,USA,Don Bluth,Animation,47483002.0,An American Tail,G,1986-11-21,80,6.9,Dom DeLuise,41004,Judy Freudberg,1986,-0.6701773733373146,-0.17943597104567166,-1.4710313565367796,-0.38818701897177926,0.4468845515789174,1,second
4000000.0,Initial Pictures,UK,Alex Cox,Biography,2826523.0,Sid and Nancy,R,1986-11-07,112,7.1,Gary Oldman,25032,Alex Cox,1986,-0.42066146861855747,1.049796051851506,-0.0436685814951988,-0.20801396205859055,0.0428186841614363,1,second
10000000.0,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,4711220.0,King Kong Lives,PG-13,1986-12-19,105,3.8,Brian Kerwin,4401,Ronald Shusett,1986,-1.5045415694598177,-1.4902019440411054,1.2185585990857295,1.1356565245642447,0.00400948401978937,3,fourth
4500000.0,Empire Pictures,USA,Stuart Gordon,Horror,1261000.0,From Beyond,R,1986-10-24,86,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986,-1.0753633149501283,0.06360572918435228,-0.9336122463274366,-0.3672586747340909,-0.11752564245559503,1,second
18000000.0,TriStar Pictures,USA,Francis Ford Coppola,Comedy,41382841.0,Peggy Sue Got Married,PG-13,1986-10-10,103,6.3,Kathleen Turner,28529,Jerry Leichtling,1986,-0.2769920606451977,-0.12396992192406618,-0.05762517570529121,-0.13503728378023905,0.296141644511624,1,second
19000000.0,Freddie Fields Productions,USA,Brian Gibson,Horror,40996665.0,Poltergeist II: The Other Side,PG-13,1986-05-23,91,5.7,JoBeth Williams,20669,Mark Victor,1986,-0.7033211141972148,-0.8754391948134618,-0.26841239175886594,-0.03630735573014031,0.22772212451034007,3,fourth
1100000.0,Empire Pictures,USA,John Carl Buechler,Comedy,5450815.0,Troll,PG-13,1986-01-17,82,4.3,Michael Moriarty,7569,Ed Naha,1986,-1.8945341782588605,-1.6841844441255367,-0.04791015536299631,0.7602722933955028,-0.013193292114430204,3,fourth
0.0,Metro-Goldwyn-Mayer (MGM),USA,Peter Hyams,Action,38500726.0,Running Scared,R,1986-06-27,107,6.5,Gregory Hines,9344,Gary DeVore,1986,-0.481779745938106,0.3374500493470856,-0.045363484756462874,-0.02606990755183844,0.5835420413208666,1,second
0.0,Hawn / Sylbert Movie Company,USA,Michael Ritchie,Comedy,26285544.0,Wildcats,R,1986-02-14,106,5.9,Goldie Hawn,10239,Ezra Sacks,1986,-0.7835350894904326,-0.03226289717534467,0.1999555801629479,0.27101971043708023,0.4138419160064295,3,fourth
111000.0,Maljack Productions,USA,John McNaughton,Biography,609939.0,Henry: Portrait of a Serial Killer,UNRATED,1990-09-07,83,7.0,Michael Rooker,25367,Richard Fire,1986,-1.0730494337787524,0.24002877074351225,-1.2480804791528775,-0.4428936135123793,-0.10973606671748759,1,second
18000000.0,ABC Motion Pictures,USA,Harry Winer,Adventure,9697739.0,SpaceCamp,PG,1986-06-06,107,5.6,Kate Capshaw,11484,Clifford Green,1986,-0.7627437957602731,-0.3136937951558842,0.5338341928440098,0.19571465236266525,-0.04822322413428404,3,fourth
6400000.0,Orion Pictures,USA,Woody Allen,Comedy,40084041.0,Hannah and Her Sisters,PG-13,1986-03-14,107,8.0,Mia Farrow,56988,Woody Allen,1986,0.24699203277151252,1.2917363050780335,-0.8026068833245201,-0.6117194393399824,0.37864929547157694,1,second
14000000.0,Walt Disney Pictures,USA,Ron Clements,Animation,38600000.0,The Great Mouse Detective,G,1986-07-02,74,7.2,Vincent Price,36539,Peter Young,1986,-0.6132810412025068,-0.24107319431717034,-1.7259390893183968,-0.8190685328887485,0.11515336107427125,1,second
8500000.0,De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,16209459.0,Raw Deal,R,1986-06-06,106,5.5,Arnold Schwarzenegger,24851,Luciano Vincenzoni,1986,-0.8216021244453691,-0.3422606462655862,0.41630499700631396,0.42939447896503974,0.12260255649127706,3,fourth
6000000.0,Sunbow Productions,USA,Nelson Shin,Animation,5849647.0,The Transformers: The Movie,PG,1986-08-08,84,7.3,Orson Welles,33609,Ron Friedman,1986,-0.8082889530300372,0.3791608560170486,-1.3305776344165494,-0.6240496770923993,-0.13887658338701125,1,second
0.0,TaliaFilm II Productions,USA,Hal Needham,Drama,2015882.0,Rad,PG,1986-03-28,91,7.2,Bart Conner,4039,Sam Bernard,1986,-0.9372015918524333,0.5895049018052815,-0.9413385849116004,-0.5540623592470176,0.02049745279160045,1,second
5000000.0,TriStar Pictures,USA,Fred Dekker,Comedy,591366.0,Night of the Creeps,R,1986-08-22,88,6.8,Jason Lively,16077,Fred Dekker,1986,-1.0098662499777666,0.18565577195764402,-0.8868643680492104,-0.4019818572914494,-0.11949066306547075,1,second
12000000.0,Cannon Pictures,USA,Tobe Hooper,Horror,4884663.0,Invaders from Mars,PG,1986-06-06,100,5.5,Karen Black,5878,Richard Blake,1986,-1.070581645981726,-0.481192536482393,0.2653622664501913,0.2225661418878136,-0.055921127807170116,3,fourth
0.0,Columbia Pictures Corporation,USA,Walter Hill,Drama,5839031.0,Crossroads,R,1986-03-14,99,7.1,Ralph Macchio,11415,John Fusco,1986,-0.7488810120710611,0.7187685530201263,-0.5882449793027745,-0.3764728691193236,0.09799031317661183,1,second
6000000.0,De Haven Productions,UK,David Anspaugh,Drama,28607524.0,Hoosiers,PG,1987-02-27,114,7.6,Gene Hackman,36604,Angelo Pizzo,1986,0.07142181438066347,1.278530896053762,-0.25140519950312423,-0.4209008007534592,0.3341795484133286,1,second
0.0,Svenska Filminstitutet (SFI),Sweden,Andrei Tarkovsky,Drama,300653.0,Sacrifice,PG,1986-11,149,8.1,Erland Josephson,16571,Andrei Tarkovsky,1986,0.46749579207354486,2.812215416355569,1.0768100298156353,-0.24534232313461385,0.3122051805272868,0,first
6500000.0,Cinema '85,USA,James Foley,Crime,2347000.0,At Close Range,R,1986-04-18,111,7.0,Sean Penn,11607,Elliott Lewitt,1986,-0.49505932189626284,0.9281714252122398,0.01568013939178879,-0.2737336471895831,0.03525237828032137,1,second
0.0,Blueline Productions,USA,Peter Markle,Drama,15448384.0,Youngblood,R,1986-01-31,110,6.1,Rob Lowe,10412,Peter Markle,1986,-0.7469615637190962,0.2776588957714935,0.3018257132607888,0.23027717993705446,0.2944816660609861,1,second
0.0,Seasonal Film Corporation,USA,Corey Yuen,Action,4662137.0,"No Retreat, No Surrender",PG,1986-05-02,85,5.6,Kurt McKinney,12803,See-Yuen Ng,1986,-1.4585627473262424,-0.6906998986849432,-0.5174817898161103,0.2013340946843274,-0.005909405480649511,3,fourth
0.0,Universal Pictures,USA,Anthony Perkins,Horror,14481606.0,Psicosis III,R,1986-07-02,93,5.3,Anthony Perkins,10022,Charles Edward Pogue,1986,-1.3151026355231252,-0.7340262186173483,-0.05898282527918926,0.4204338500707984,0.18019732583075748,3,fourth
20000000.0,Paramount Pictures,USA,Mike Nichols,Comedy,25314289.0,Heartburn,R,1986-07-25,108,6.1,Meryl Streep,7570,Nora Ephron,1986,-0.4452381784370726,-0.05453262154560017,0.34882925787622826,-0.0988051910067329,0.14783809415205157,1,second
15000000.0,Warner Bros.,USA,Michael Chapman,Adventure,1953732.0,The Clan of the Cave Bear,R,1986-01-17,98,5.3,Daryl Hannah,5340,Jean M. Auel,1986,-1.1567492194372582,-0.6898638515257297,0.29834995474571036,0.254306305317523,-0.146038382726106,3,fourth
